City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
79,Longyearbyen,78.2186,15.6401,17.6,62,75,4.61,SJ,broken clouds
80,Loukhi,66.0764,33.0381,35.06,82,100,3.51,RU,overcast clouds
81,Ramon,16.7842,121.535,90.12,50,64,5.03,PH,broken clouds
82,Fort Saint James,54.4333,-124.25,37.13,51,9,3.04,CA,clear sky
83,Kahului,20.8947,-156.47,80.6,57,20,24.16,US,few clouds
84,Shingu,33.7333,135.9833,69.8,60,75,6.91,JP,broken clouds
85,Castro,-24.7911,-50.0119,51.08,95,22,2.46,BR,few clouds
86,Omboue,-1.5746,9.2618,74.14,93,100,7.23,GA,overcast clouds
87,Talaya,61.3833,152.75,31.17,78,100,7.63,RU,overcast clouds
88,Fairbanks,64.8378,-147.7164,53.6,40,1,13.8,US,clear sky
89,Marquette,46.5333,-87.6335,41.0,67,12,6.29,US,few clouds
90,Minab,27.1467,57.0801,82.4,61,2,4.61,IR,haze
91,Avarua,-21.2078,-159.775,78.8,78,75,20.71,CK,broken clouds
92,Torbay,47.6666,-52.7314,42.01,100,90,16.11,CA,light rain
93,Talara,-4.5772,-81.2719,71.87,77,72,14.67,PE,broken clouds
94,Hithadhoo,-0.6,73.0833,83.08,71,90,6.31,MV,overcast clouds
95,Bluff,-46.6,168.3333,52.0,91,100,7.0,NZ,overcast clouds
96,Beipiao,41.7919,120.7792,50.72,86,100,2.01,CN,overcast clouds
97,Luderitz,-26.6481,15.1594,65.7,67,19,9.06,NA,few clouds
98,Kaitangata,-46.2817,169.8464,57.99,73,100,1.99,NZ,overcast clouds
99,Atlantic City,39.3643,-74.4229,44.01,36,1,6.91,US,clear sky
100,Sistranda,63.7256,8.834,33.8,93,40,6.91,NO,light rain
101,Lavrentiya,65.5833,-171.0,32.79,71,100,1.3,RU,overcast clouds
102,Ugoofaaru,5.6667,73.0,83.66,71,21,9.04,MV,few clouds
103,Sakakah,29.9697,40.2064,71.6,20,20,6.91,SA,few clouds
104,Qaanaaq,77.484,-69.3632,18.77,91,100,9.6,GL,overcast clouds
105,Talnakh,69.4865,88.3972,33.57,98,100,13.22,RU,overcast clouds
106,Santa Rita,-7.1139,-34.9781,75.2,94,0,2.3,BR,clear sky
107,Columbus,39.9612,-82.9988,39.2,75,1,4.61,US,clear sky
108,Hualmay,-11.0964,-77.6139,67.01,87,2,7.52,PE,clear sky
109,Mount Gambier,-37.8333,140.7667,59.0,67,90,13.8,AU,overcast clouds
110,Eyl,7.9803,49.8164,83.14,69,43,4.59,SO,light rain
111,Norman Wells,65.282,-126.8329,28.4,54,75,9.22,CA,broken clouds
112,Chuy,-33.6971,-53.4616,65.41,80,99,11.34,UY,overcast clouds
113,Port Elizabeth,-33.918,25.5701,62.6,94,0,16.11,ZA,clear sky
114,Mani,4.8172,-72.2886,79.45,54,25,4.52,CO,scattered clouds
115,Dikson,73.5069,80.5464,32.61,94,100,23.26,RU,overcast clouds
116,Neuquen,-38.9516,-68.0591,57.2,77,0,1.14,AR,clear sky
117,Bealanana,-14.55,48.7333,64.71,97,100,3.76,MG,overcast clouds
118,Burnie,-41.0667,145.9167,55.0,68,60,8.01,AU,broken clouds
119,Rocha,-34.4833,-54.3333,63.3,87,100,11.25,UY,overcast clouds
120,Coquimbo,-29.9533,-71.3436,59.0,82,90,2.3,CL,overcast clouds
121,Katsuura,35.1333,140.3,66.0,44,20,10.36,JP,few clouds
