City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
302,Port Blair,IN,85.71,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
308,Waingapu,ID,83.97,clear sky,-9.6567,120.2641,Pondok Wisata Elim
310,Kihei,US,80.6,few clouds,20.785,-156.4656,Maui Sunset
319,Mayumba,GA,75.16,light rain,-3.432,10.6554,LIKWALE LODGE
323,Araouane,ML,83.1,clear sky,18.9048,-3.5265,
326,Changping,CN,75.99,clear sky,40.2186,116.2197,Huachang Hotel
328,Casa Nova,BR,78.98,light rain,-9.4167,-41.1333,Pousada e Restaurante Dona Xinha
333,Haimen,CN,86.0,clear sky,23.1935,116.6142,Jinghao Business Hotel
338,Kollo,NE,87.8,clear sky,13.3043,2.339,
341,Aguada De Pasajeros,CU,75.2,overcast clouds,22.385,-80.8508,Soles de Marti
346,San Rafael Del Sur,NI,82.4,scattered clouds,11.8485,-86.4384,Hospedaje El Chino
349,Honiara,SB,84.25,broken clouds,-9.4333,159.95,Heritage Park Hotel
355,Oistins,BB,78.8,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
360,Andros Town,BS,77.0,few clouds,24.7,-77.7667,Hanks place
361,Acapulco,MX,79.47,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
362,Gamba,GA,75.04,overcast clouds,-2.65,10.0,
364,Sabancuy,MX,80.82,overcast clouds,18.9667,-91.1833,pulpo
367,Geraldton,AU,84.2,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
368,Qeshm,IR,77.0,haze,26.9581,56.2719,Qeshm Kavan Hotel
370,Denpasar,ID,87.8,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
372,Pasighat,IN,85.17,clear sky,28.0667,95.3333,Siang Guest House
373,Xuddur,SO,75.94,overcast clouds,4.1213,43.8894,Banjanay Hotel
374,Haapiti,PF,84.2,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
379,Popondetta,PG,86.47,light rain,-8.7537,148.2534,Timos Transit House
381,Karratha,AU,88.92,clear sky,-20.7377,116.8463,ibis Styles Karratha
383,Barinas,VE,82.4,few clouds,8.6226,-70.2075,Hotel Mastranto Suite
384,Zhuhai,CN,89.01,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
385,Muttupet,IN,89.22,broken clouds,10.4,79.4833,Hotel Star Residency
387,Kyaikkami,MM,85.33,scattered clouds,16.08,97.5675,Happy Family Kyaikkami
388,Bartica,GY,77.0,scattered clouds,6.4,-58.6167,Relax Inn Hotel
389,Nioro,GM,75.6,broken clouds,13.35,-15.75,
391,Lorengau,PG,85.15,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
392,Bengkulu,ID,83.01,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
393,Victoria,HK,89.01,clear sky,22.2855,114.1577,Mini Hotel Central
396,Avanigadda,IN,87.8,light rain,16.0215,80.9181,AP Camping
404,Mahibadhoo,MV,82.96,overcast clouds,3.7833,72.9667,Omadhoo Inn
406,Hobyo,SO,84.29,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
407,Paciran,ID,85.14,clear sky,-6.8767,112.3761,Tanjung Kodok Beach Resort
409,Puerto Ayacucho,VE,81.79,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
421,Ambon,ID,89.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
422,Axim,GH,81.16,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
